id,money,area,value,url
69,7,3,2.小运动场，预计60万元，7020平方米,
70,7,4,2.小运动场，预计60万元，7020平方米,
71,7,5,2.小运动场，预计60万元，7020平方米,
72,7,6,2.小运动场，预计60万元，7020平方米,
73,7,7,2.小运动场，预计60万元，7020平方米,
74,7,8,2.小运动场，预计60万元，7020平方米,
75,7,9,2.小运动场，预计60万元，7020平方米,
76,7,10,2.小运动场，预计60万元，7020平方米,
77,7,11,2.小运动场，预计60万元，7020平方米,
78,8,1,2.摔跤馆，预计81万元，151平方米,
79,8,2,2.摔跤馆，预计81万元，151平方米,
80,8,3,2.摔跤馆，预计81万元，151平方米,
81,8,4,2.摔跤馆，预计81万元，151平方米,
82,8,5,2.摔跤馆，预计81万元，151平方米,
83,8,6,2.摔跤馆，预计81万元，151平方米,
84,8,7,2.摔跤馆，预计81万元，151平方米,
85,8,8,2.摔跤馆，预计81万元，151平方米,
86,8,9,2.摔跤馆，预计81万元，151平方米,
87,8,10,2.摔跤馆，预计81万元，151平方米,
88,8,11,2.摔跤馆，预计81万元，151平方米,
89,9,1,2.轮滑场，预计91万元，763平方米,
90,9,2,2.轮滑场，预计91万元，763平方米,
91,9,3,2.轮滑场，预计91万元，763平方米,
92,9,4,2.轮滑场，预计91万元，763平方米,
93,9,5,2.轮滑场，预计91万元，763平方米,
94,9,6,2.轮滑场，预计91万元，763平方米,
95,9,7,2.轮滑场，预计91万元，763平方米,
96,9,8,2.轮滑场，预计91万元，763平方米,
97,9,9,2.轮滑场，预计91万元，763平方米,
98,9,10,2.轮滑场，预计91万元，763平方米,
99,9,11,2.轮滑场，预计91万元，763平方米,
100,10,1,2.轮滑场，预计91万元，763平方米,
101,10,2,2.轮滑场，预计91万元，763平方米,
102,10,3,2.轮滑场，预计91万元，763平方米,
103,10,4,2.轮滑场，预计91万元，763平方米,
104,10,5,2.轮滑场，预计91万元，763平方米,
105,10,6,2.轮滑场，预计91万元，763平方米,
106,10,7,2.轮滑场，预计91万元，763平方米,
107,10,8,2.轮滑场，预计91万元，763平方米,
108,10,9,2.轮滑场，预计91万元，763平方米,
109,10,10,2.羽毛球馆，预计203万元，934平方米,
110,10,11,2.轮滑场，预计91万元，763平方米,
111,11,1,2.羽毛球馆，预计202万元，934平方米,
112,11,2,2.羽毛球馆，预计202万元，934平方米,
113,11,3,2.羽毛球馆，预计202万元，934平方米,
114,11,4,2.羽毛球馆，预计202万元，934平方米,
115,11,5,2.羽毛球馆，预计202万元，934平方米,
116,11,6,2.羽毛球馆，预计202万元，934平方米,
117,11,7,2.羽毛球馆，预计202万元，934平方米,
118,11,8,2.羽毛球馆，预计202万元，934平方米,
119,11,9,2.羽毛球馆，预计202万元，934平方米,
120,11,10,2.羽毛球馆，预计202万元，934平方米,
121,11,11,2.羽毛球馆，预计202万元，934平方米,
122,12,1,2.篮球馆，预计284万元，866平方米,
123,12,2,2.篮球馆，预计284万元，866平方米,
124,12,3,2.篮球馆，预计284万元，866平方米,
125,12,4,2.篮球馆，预计284万元，866平方米,
126,12,5,2.篮球馆，预计284万元，866平方米,
127,12,6,2.篮球馆，预计284万元，866平方米,
128,12,7,2.篮球馆，预计284万元，866平方米,
129,12,8,2.篮球馆，预计284万元，866平方米,
130,12,9,2.篮球馆，预计284万元，866平方米,
131,12,10,2.篮球馆，预计284万元，866平方米,
132,12,11,2.篮球馆，预计284万元，866平方米,
