id,dotid,lat,lng,value,info,type,name,label1,label2
119,119,31.571842,120.409093,10,体育器材,1,体育器材,3,2
120,120,31.5719448,120.381816,10,体育器材,1,体育器材,3,2
121,121,31.5622395,120.38954,10,体育器材,1,体育器材,3,2
122,122,31.5220545,120.434083,10,体育器材,1,体育器材,3,2
123,123,31.558679,120.349698,10,体育器材,1,体育器材,3,2
124,124,31.535463,120.4400327,10,体育器材,1,体育器材,3,2
125,125,31.4768745,120.394567,10,体育器材,1,体育器材,3,2
126,126,31.5179325,120.393,10,体育器材,1,体育器材,3,2
127,127,31.4957085,120.4938085,10,体育器材,1,体育器材,3,2
128,128,31.5536875,120.343497,10,体育器材,1,体育器材,3,2
129,129,31.50079,120.392421,10,体育器材,1,体育器材,3,2
130,130,31.546095,120.4286133,10,体育器材,1,体育器材,3,2
131,131,31.570585,120.331009,10,体育器材,1,体育器材,3,2
132,132,31.537461,120.432998,10,体育器材,1,体育器材,3,2
133,133,31.539013,120.437835,10,体育器材,1,体育器材,3,2
134,134,31.538783,120.343476,10,体育器材,1,体育器材,3,2
135,135,31.576343,120.313693,10,体育器材,1,体育器材,3,2
136,136,31.58073867,120.4055597,10,体育器材,1,体育器材,3,2
137,137,31.5513376,120.3639524,10,体育器材,1,体育器材,3,2
138,138,31.562774,120.405874,10,体育器材,1,体育器材,3,2
139,139,31.5544555,120.352423,10,体育器材,1,体育器材,3,2
140,140,31.571075,120.3462435,10,体育器材,1,体育器材,3,2
141,141,31.5430546,120.433569,10,体育器材,1,体育器材,3,2
142,142,31.55447267,120.3848317,10,体育器材,1,体育器材,3,2
143,143,31.480324,120.4514245,10,体育器材,1,体育器材,3,2
144,144,31.5680585,120.3737095,10,体育器材,1,体育器材,3,2
145,145,31.51453867,120.4976397,10,体育器材,1,体育器材,3,2
146,146,31.5047884,120.4323368,10,体育器材,1,体育器材,3,2
147,147,31.5671185,120.342874,10,体育器材,1,体育器材,3,2
148,148,31.563396,120.355492,10,体育器材,1,体育器材,3,2
149,149,31.55668675,120.368574,10,体育器材,1,体育器材,3,2
150,150,31.4753678,120.4479964,10,体育器材,1,体育器材,3,2
151,151,31.574168,120.329078,10,体育器材,1,体育器材,3,2
152,152,31.5227928,120.4313804,15,健身会所,1,健身会所,3,3
153,153,31.57034508,120.3364098,15,健身会所,1,健身会所,3,3
154,154,31.54259686,120.3730489,15,健身会所,1,健身会所,3,3
155,155,31.563396,120.355492,15,健身会所,1,健身会所,3,3
156,156,31.55586333,120.3515147,15,健身会所,1,健身会所,3,3
157,157,31.53878957,120.4393581,15,健身会所,1,健身会所,3,3
158,158,31.5468368,120.375439,15,健身会所,1,健身会所,3,3
159,159,31.48316983,120.448374,15,健身会所,1,健身会所,3,3
160,160,31.5354685,120.42964,15,健身会所,1,健身会所,3,3
161,161,31.49444986,120.4909349,15,健身会所,1,健身会所,3,3
162,162,31.5480515,120.3721077,15,健身会所,1,健身会所,3,3
163,163,31.5278226,120.4964696,15,健身会所,1,健身会所,3,3
164,164,31.47228633,120.4550493,15,健身会所,1,健身会所,3,3
165,165,31.470654,120.4354043,15,健身会所,1,健身会所,3,3
166,166,31.5677256,120.370478,15,健身会所,1,健身会所,3,3
167,167,31.565076,120.4023248,15,健身会所,1,健身会所,3,3
168,168,31.5459425,120.3696753,15,健身会所,1,健身会所,3,3
169,169,31.494537,120.4648798,15,健身会所,1,健身会所,3,3
170,170,31.5490585,120.3568885,15,健身会所,1,健身会所,3,3
171,171,31.58005,120.4043295,15,健身会所,1,健身会所,3,3
172,172,31.57566143,120.3294524,15,健身会所,1,健身会所,3,3
173,173,31.512871,120.411197,15,健身会所,1,健身会所,3,3
174,174,31.5618925,120.392688,15,健身会所,1,健身会所,3,3
175,175,31.553557,120.370364,15,健身会所,1,健身会所,3,3
176,176,31.5699265,120.3242933,15,健身会所,1,健身会所,3,3
177,177,31.51236386,120.3959983,15,健身会所,1,健身会所,3,3
178,178,31.5480005,120.3477455,15,健身会所,1,健身会所,3,3
179,179,31.53012325,120.3820998,15,健身会所,1,健身会所,3,3
180,180,31.565641,120.391958,15,健身会所,1,健身会所,3,3
181,181,31.57803133,120.3137897,15,健身会所,1,健身会所,3,3
182,182,31.5499595,120.3644905,15,健身会所,1,健身会所,3,3
183,183,31.54639913,120.4387725,15,健身会所,1,健身会所,3,3
184,184,31.5460686,120.419072,15,健身会所,1,健身会所,3,3
185,185,31.55685,120.3618,15,健身会所,1,健身会所,3,3
186,186,31.57392129,120.375006,15,健身会所,1,健身会所,3,3
187,187,31.50532133,120.3888377,15,健身会所,1,健身会所,3,3
188,188,31.47844388,120.4545086,15,健身会所,1,健身会所,3,3
189,189,31.54995267,120.3685717,15,健身会所,1,健身会所,3,3
190,190,31.52086833,120.4522297,15,健身会所,1,健身会所,3,3
191,191,31.5622395,120.38954,15,健身会所,1,健身会所,3,3
192,192,31.50380867,120.4326157,15,健身会所,1,健身会所,3,3
193,193,31.52388267,120.4998267,15,健身会所,1,健身会所,3,3
194,194,31.5637835,120.31836,15,健身会所,1,健身会所,3,3
195,195,31.54652863,120.4464999,15,健身会所,1,健身会所,3,3
196,196,31.4832295,120.4716425,15,健身会所,1,健身会所,3,3
197,197,31.5788985,120.407913,15,健身会所,1,健身会所,3,3
198,198,31.54602611,120.431279,15,健身会所,1,健身会所,3,3
199,199,31.464398,120.4519015,15,健身会所,1,健身会所,3,3
200,200,31.54696525,120.3584708,15,健身会所,1,健身会所,3,3
201,201,31.5728115,120.3165222,15,健身会所,1,健身会所,3,3
202,202,31.54204317,120.3539088,15,健身会所,1,健身会所,3,3
203,203,31.53974,120.349755,15,健身会所,1,健身会所,3,3
204,204,31.54236867,120.38154,15,健身会所,1,健身会所,3,3
205,205,31.53414443,120.4368061,15,健身会所,1,健身会所,3,3
206,206,31.52025125,120.50638,15,健身会所,1,健身会所,3,3
207,207,31.5663755,120.3969695,15,健身会所,1,健身会所,3,3
208,208,31.561074,120.3331742,15,健身会所,1,健身会所,3,3
209,209,31.5392654,120.416142,15,健身会所,1,健身会所,3,3
210,210,31.48843833,120.4976787,15,健身会所,1,健身会所,3,3
211,211,31.52960433,120.5021157,15,健身会所,1,健身会所,3,3
212,212,31.55946825,120.3886478,15,健身会所,1,健身会所,3,3
213,213,31.51574,120.4981975,15,健身会所,1,健身会所,3,3
214,214,31.553303,120.370426,15,健身会所,1,健身会所,3,3
215,215,31.564639,120.37931,15,健身会所,1,健身会所,3,3
216,216,31.56923486,120.4067324,15,健身会所,1,健身会所,3,3
217,217,31.552927,120.3669983,15,健身会所,1,健身会所,3,3
218,218,31.4931048,120.4844169,15,健身会所,1,健身会所,3,3
219,219,31.56418858,120.3454674,15,健身会所,1,健身会所,3,3
220,220,31.48186575,120.497339,15,健身会所,1,健身会所,3,3
221,221,31.5765332,120.3221692,15,健身会所,1,健身会所,3,3
222,222,31.55447267,120.3848317,15,健身会所,1,健身会所,3,3
223,223,31.5255546,120.5030176,15,健身会所,1,健身会所,3,3
224,224,31.4756285,120.4483261,15,健身会所,1,健身会所,3,3
225,225,31.4767898,120.3682158,15,健身会所,1,健身会所,3,3
226,226,31.454953,120.466021,15,健身会所,1,健身会所,3,3
227,227,31.5363585,120.4453253,15,健身会所,1,健身会所,3,3
228,228,31.484913,120.468875,15,健身会所,1,健身会所,3,3
229,229,31.561914,120.373208,15,健身会所,1,健身会所,3,3
230,230,31.5562045,120.3917593,15,健身会所,1,健身会所,3,3
231,231,31.47724873,120.3876932,15,健身会所,1,健身会所,3,3
232,232,31.572263,120.383451,15,健身会所,1,健身会所,3,3
233,233,31.458706,120.444005,15,健身会所,1,健身会所,3,3
234,234,31.51965133,120.3679233,15,健身会所,1,健身会所,3,3
235,235,31.5600258,120.3263098,15,健身会所,1,健身会所,3,3
236,236,31.5790485,120.3169118,15,健身会所,1,健身会所,3,3
237,237,31.54639,120.393301,15,健身会所,1,健身会所,3,3
238,238,31.52862267,120.5053123,15,健身会所,1,健身会所,3,3
239,239,31.471783,120.4403234,15,健身会所,1,健身会所,3,3
240,240,31.554948,120.376091,15,健身会所,1,健身会所,3,3
241,241,31.568576,120.3821137,15,健身会所,1,健身会所,3,3
242,242,31.55668675,120.368574,15,健身会所,1,健身会所,3,3
243,243,31.5536875,120.343497,15,健身会所,1,健身会所,3,3
244,244,31.5658735,120.3637743,15,健身会所,1,健身会所,3,3
245,245,31.5675825,120.387335,15,健身会所,1,健身会所,3,3
246,246,31.48988556,120.4672704,20,室外场馆,1,室外场馆,3,4
247,247,31.564815,120.3581096,20,室外场馆,1,室外场馆,3,4
248,248,31.47799912,120.4511005,20,室外场馆,1,室外场馆,3,4
249,249,31.52542229,120.5020873,20,室外场馆,1,室外场馆,3,4
250,250,31.5291135,120.503714,20,室外场馆,1,室外场馆,3,4
251,251,31.54773282,120.4342073,20,室外场馆,1,室外场馆,3,4
252,252,31.477134,120.3828239,20,室外场馆,1,室外场馆,3,4
253,253,31.56219785,120.326631,20,室外场馆,1,室外场馆,3,4
254,254,31.5757361,120.3183512,20,室外场馆,1,室外场馆,3,4
255,255,31.57341987,120.3324775,20,室外场馆,1,室外场馆,3,4
256,256,31.55299514,120.348147,20,室外场馆,1,室外场馆,3,4
257,257,31.54158091,120.4180445,20,室外场馆,1,室外场馆,3,4
258,258,31.54099627,120.3520207,20,室外场馆,1,室外场馆,3,4
259,259,31.56482571,120.3434478,20,室外场馆,1,室外场馆,3,4
260,260,31.5136995,120.4357629,20,室外场馆,1,室外场馆,3,4
261,261,31.54844967,120.3590267,20,室外场馆,1,室外场馆,3,4
262,262,31.56444231,120.3907598,20,室外场馆,1,室外场馆,3,4
263,263,31.50750875,120.3969863,20,室外场馆,1,室外场馆,3,4
264,264,31.523478,120.3719716,20,室外场馆,1,室外场馆,3,4
265,265,31.5224612,120.3879964,20,室外场馆,1,室外场馆,3,4
266,266,31.472119,120.4418787,20,室外场馆,1,室外场馆,3,4
267,267,31.5586785,120.358453,20,室外场馆,1,室外场馆,3,4
268,268,31.54043371,120.4314961,20,室外场馆,1,室外场馆,3,4
269,269,31.49104063,120.4901294,20,室外场馆,1,室外场馆,3,4
270,270,31.5542416,120.3920676,20,室外场馆,1,室外场馆,3,4
271,271,31.55184389,120.3681784,20,室外场馆,1,室外场馆,3,4
272,272,31.53458113,120.4370724,20,室外场馆,1,室外场馆,3,4
273,273,31.56515255,120.3701473,20,室外场馆,1,室外场馆,3,4
274,274,31.47081883,120.4370137,20,室外场馆,1,室外场馆,3,4
275,275,31.54687633,120.35686,20,室外场馆,1,室外场馆,3,4
276,276,31.4594816,120.45597,20,室外场馆,1,室外场馆,3,4
277,277,31.55732729,120.3870123,20,室外场馆,1,室外场馆,3,4
278,278,31.57221108,120.3778149,20,室外场馆,1,室外场馆,3,4
279,279,31.54399247,120.4446392,20,室外场馆,1,室外场馆,3,4
280,280,31.5278226,120.4964696,20,室外场馆,1,室外场馆,3,4
281,281,31.51838111,120.5020297,20,室外场馆,1,室外场馆,3,4
282,282,31.57049506,120.4052023,20,室外场馆,1,室外场馆,3,4
283,283,31.54502509,120.3741281,20,室外场馆,1,室外场馆,3,4
284,284,31.49104063,120.4901294,25,公园步道,1,公园步道,3,5
285,285,31.56734107,120.4037636,25,公园步道,1,公园步道,3,5
286,286,31.477134,120.3828239,25,公园步道,1,公园步道,3,5
287,287,31.56954515,120.3752897,25,公园步道,1,公园步道,3,5
288,288,31.56820419,120.3312857,25,公园步道,1,公园步道,3,5
289,289,31.52025125,120.50638,25,公园步道,1,公园步道,3,5
290,290,31.54681931,120.4347475,25,公园步道,1,公园步道,3,5
291,291,31.4594816,120.45597,25,公园步道,1,公园步道,3,5
292,292,31.5626612,120.3451878,25,公园步道,1,公园步道,3,5
293,293,31.51965133,120.3679233,25,公园步道,1,公园步道,3,5
294,294,31.54270131,120.444959,25,公园步道,1,公园步道,3,5
295,295,31.510029,120.3948692,25,公园步道,1,公园步道,3,5
296,296,31.50582657,120.4304326,25,公园步道,1,公园步道,3,5
297,297,31.55299344,120.3676472,25,公园步道,1,公园步道,3,5
298,298,31.5260568,120.4985014,25,公园步道,1,公园步道,3,5
299,299,31.535914,120.3839206,25,公园步道,1,公园步道,3,5
300,300,31.54216025,120.4186629,25,公园步道,1,公园步道,3,5
301,301,31.54552313,120.3729896,25,公园步道,1,公园步道,3,5
302,302,31.5443011,120.3534534,25,公园步道,1,公园步道,3,5
303,303,31.47151892,120.4396333,25,公园步道,1,公园步道,3,5
304,304,31.564655,120.360709,25,公园步道,1,公园步道,3,5
305,305,31.52207113,120.4391989,25,公园步道,1,公园步道,3,5
306,306,31.57470722,120.3187167,25,公园步道,1,公园步道,3,5
307,307,31.52807189,120.5037984,25,公园步道,1,公园步道,3,5
308,308,31.47799912,120.4511005,25,公园步道,1,公园步道,3,5
309,309,31.57947425,120.4061213,25,公园步道,1,公园步道,3,5
310,310,31.51574,120.4981975,25,公园步道,1,公园步道,3,5
311,311,31.53640639,120.4353908,25,公园步道,1,公园步道,3,5
312,312,31.56050491,120.3891846,25,公园步道,1,公园步道,3,5
313,313,31.48988556,120.4672704,25,公园步道,1,公园步道,3,5
314,314,31.52086833,120.4522297,30,室内场馆,1,室内场馆,3,6
315,315,31.5605499,120.329742,30,室内场馆,1,室内场馆,3,6
316,316,31.53615929,120.4399542,30,室内场馆,1,室内场馆,3,6
317,317,31.56921583,120.3847815,30,室内场馆,1,室内场馆,3,6
318,318,31.57344663,120.3755333,30,室内场馆,1,室内场馆,3,6
319,319,31.55362322,120.3569634,30,室内场馆,1,室内场馆,3,6
320,320,31.54601036,120.4449242,30,室内场馆,1,室内场馆,3,6
321,321,31.57238958,120.3331317,30,室内场馆,1,室内场馆,3,6
322,322,31.5742963,120.3185515,30,室内场馆,1,室内场馆,3,6
323,323,31.5636776,120.3921391,30,室内场馆,1,室内场馆,3,6
324,324,31.47444113,120.4485088,30,室内场馆,1,室内场馆,3,6
325,325,31.52434,120.5013893,30,室内场馆,1,室内场馆,3,6
326,326,31.56297972,120.3461267,30,室内场馆,1,室内场馆,3,6
327,327,31.50280829,120.4359594,30,室内场馆,1,室内场馆,3,6
328,328,31.4767898,120.3682158,30,室内场馆,1,室内场馆,3,6
329,329,31.566171,120.3669979,30,室内场馆,1,室内场馆,3,6
330,330,31.54773282,120.4342073,30,室内场馆,1,室内场馆,3,6
331,331,31.54327857,120.3754189,30,室内场馆,1,室内场馆,3,6
332,332,31.55111855,120.3687371,30,室内场馆,1,室内场馆,3,6
333,333,31.52323114,120.4280936,30,室内场馆,1,室内场馆,3,6
334,334,31.47724873,120.3876932,30,室内场馆,1,室内场馆,3,6
335,335,31.57947425,120.4061213,30,室内场馆,1,室内场馆,3,6
336,336,31.567502,120.4048959,30,室内场馆,1,室内场馆,3,6
337,337,31.5426004,120.3522085,30,室内场馆,1,室内场馆,3,6
338,338,31.55604158,120.3891187,30,室内场馆,1,室内场馆,3,6
339,339,31.51406719,120.3882421,30,室内场馆,1,室内场馆,3,6
340,340,31.5633552,120.374327,30,室内场馆,1,室内场馆,3,6
341,341,31.53887078,120.4315439,30,室内场馆,1,室内场馆,3,6
342,342,31.49040061,120.4855909,30,室内场馆,1,室内场馆,3,6
343,343,31.542667,120.417607,30,室内场馆,1,室内场馆,3,6
344,344,31.5478274,120.4384438,10,体育器材,1,体育器材,3,7
345,345,31.480315,120.389353,10,体育器材,1,体育器材,3,7
346,346,31.57106,120.318779,10,体育器材,1,体育器材,3,7
347,347,31.47587033,120.3898677,10,体育器材,1,体育器材,3,7
348,348,31.57148783,120.3348862,10,体育器材,1,体育器材,3,7
349,349,31.47833929,120.4549561,10,体育器材,1,体育器材,3,7
350,350,31.5480005,120.3477455,10,体育器材,1,体育器材,3,7
351,351,31.47858575,120.4498045,10,体育器材,1,体育器材,3,7
352,352,31.56730833,120.3888657,10,体育器材,1,体育器材,3,7
353,353,31.5480515,120.3721077,10,体育器材,1,体育器材,3,7
354,354,31.507808,120.40506,10,体育器材,1,体育器材,3,7
355,355,31.5600645,120.3874735,10,体育器材,1,体育器材,3,7
356,356,31.520412,120.5016138,10,体育器材,1,体育器材,3,7
357,357,31.509085,120.3998383,10,体育器材,1,体育器材,3,7
358,358,31.519754,120.517279,10,体育器材,1,体育器材,3,7
359,359,31.5576,120.327919,10,体育器材,1,体育器材,3,7
360,360,31.560602,120.322104,10,体育器材,1,体育器材,3,7
361,361,31.472469,120.447096,10,体育器材,1,体育器材,3,7
362,362,31.5645295,120.3682375,10,体育器材,1,体育器材,3,7
363,363,31.532843,120.43435,10,体育器材,1,体育器材,3,7
364,364,31.575681,120.407806,10,体育器材,1,体育器材,3,7
365,365,31.49891,120.43401,10,体育器材,1,体育器材,3,7
366,366,31.469028,120.434521,10,体育器材,1,体育器材,3,7
367,367,31.54236867,120.38154,10,体育器材,1,体育器材,3,7
368,368,31.57714133,120.330359,10,体育器材,1,体育器材,3,7
369,369,31.56505067,120.400874,10,体育器材,1,体育器材,3,7
370,370,31.48843833,120.4976787,10,体育器材,1,体育器材,3,7
371,371,31.5618345,120.3452775,10,体育器材,1,体育器材,3,7
372,372,31.5439636,120.3749648,10,体育器材,1,体育器材,3,7
373,373,31.548841,120.3770145,10,体育器材,1,体育器材,3,7
374,374,31.52843667,120.5043933,10,体育器材,1,体育器材,3,7
375,375,31.534945,120.41463,10,体育器材,1,体育器材,3,7
376,376,31.5643395,120.331717,10,体育器材,1,体育器材,3,7
377,377,31.5460686,120.419072,10,体育器材,1,体育器材,3,7
378,378,31.574972,120.336264,10,体育器材,1,体育器材,3,7
379,379,31.5428735,120.3540825,10,体育器材,1,体育器材,3,7
380,380,31.575685,120.3219473,10,体育器材,1,体育器材,3,7
381,381,31.56665,120.396991,10,体育器材,1,体育器材,3,7
382,382,31.473677,120.383945,10,体育器材,1,体育器材,3,7
383,383,31.5744896,120.3741342,10,体育器材,1,体育器材,3,7
384,384,31.5601055,120.338905,10,体育器材,1,体育器材,3,7
385,385,31.47427767,120.4408403,10,体育器材,1,体育器材,3,7
386,386,31.5638825,120.3467365,10,体育器材,1,体育器材,3,7
387,387,31.49371967,120.4697263,10,体育器材,1,体育器材,3,7
388,388,31.4961525,120.487602,10,体育器材,1,体育器材,3,7
389,389,31.552927,120.3669983,10,体育器材,1,体育器材,3,7
390,390,31.56916133,120.3700117,10,体育器材,1,体育器材,3,7
391,391,31.5621635,120.3268035,10,体育器材,1,体育器材,3,7
392,392,31.54936267,120.4491693,10,体育器材,1,体育器材,3,7
393,393,31.484951,120.374255,10,体育器材,1,体育器材,3,7
394,394,31.55626967,120.391217,10,体育器材,1,体育器材,3,7
395,395,31.558695,120.332678,10,体育器材,1,体育器材,3,7
396,396,31.57106,120.324744,10,体育器材,1,体育器材,3,7
397,397,31.5429724,120.3719368,10,体育器材,1,体育器材,3,7
398,398,31.527336,120.4957573,10,体育器材,1,体育器材,3,7
399,399,31.454953,120.466021,10,体育器材,1,体育器材,3,7
400,400,31.4873465,120.449456,10,体育器材,1,体育器材,3,7
401,401,31.571623,120.404415,10,体育器材,1,体育器材,3,7
402,402,31.56051067,120.347539,10,体育器材,1,体育器材,3,7
403,403,31.4815095,120.444864,10,体育器材,1,体育器材,3,7
404,404,31.532998,120.435916,10,体育器材,1,体育器材,3,7
405,405,31.4909285,120.4840615,10,体育器材,1,体育器材,3,7
406,406,31.5285525,120.497538,10,体育器材,1,体育器材,3,7
407,407,31.535705,120.437032,10,体育器材,1,体育器材,3,7
408,408,31.464398,120.4519015,10,体育器材,1,体育器材,3,7
409,409,31.57683633,120.3264967,10,体育器材,1,体育器材,3,7
410,410,31.5745055,120.317931,10,体育器材,1,体育器材,3,7
411,411,31.566771,120.3358405,10,体育器材,1,体育器材,3,7
412,412,31.54995267,120.3685717,10,体育器材,1,体育器材,3,7
413,413,31.495763,120.45761,10,体育器材,1,体育器材,3,7
414,414,31.5459425,120.3696753,10,体育器材,1,体育器材,3,7
415,415,31.548954,120.432962,10,体育器材,1,体育器材,3,7
